,test_name,code_len,dumb_dyn_slice,dyn_slice,pruned_slice,dumb_dyn_slice_len,pruned_slice_len,dyn_slice_len,runtime_bare_test,runtime_tracing_augmented_test,runtime_dyn_slice,runtime_pruned_slice,perf_runtime_bare_test,perf_runtime_tracing_augmented_test,perf_runtime_dyn_slice,perf_runtime_pruned_slice,len_exec_trace,test_result,sliced_result_equal_to_bare,exception,stage,num_boolops_pruned_sliced,num_lines_with_boolops_pruned_sliced,num_boolops_dyn_sliced,num_lines_with_boolops_dyn_sliced,num_boolops,num_lines_with_boolops,benchmark,test_status
24245,benchmark/refactory/data/question_4/code/correct/correct_4_383.py#4:,,,,,,,,,,,,,,,,,,,<class 'timeout_decorator.timeout_decorator.TimeoutError'>(),run sliced,,,,,0,0,refactory,Timeout during sliced code execution
24246,benchmark/refactory/data/question_4/code/correct/correct_4_383.py#5:,,,,,,,,,,,,,,,,,,,<class 'timeout_decorator.timeout_decorator.TimeoutError'>(),run sliced,,,,,0,0,refactory,Timeout during sliced code execution
24247,benchmark/refactory/data/question_4/code/correct/correct_4_249.py#0:,,,,,,,,,,,,,,,,,,,<class 'timeout_decorator.timeout_decorator.TimeoutError'>(),run sliced,,,,,0,0,refactory,Timeout during sliced code execution
24248,benchmark/refactory/data/question_4/code/correct/correct_4_249.py#1:,,,,,,,,,,,,,,,,,,,<class 'timeout_decorator.timeout_decorator.TimeoutError'>(),run sliced,,,,,0,0,refactory,Timeout during sliced code execution
24249,benchmark/refactory/data/question_4/code/correct/correct_4_249.py#2:,,,,,,,,,,,,,,,,,,,<class 'timeout_decorator.timeout_decorator.TimeoutError'>(),run sliced,,,,,0,0,refactory,Timeout during sliced code execution
24250,benchmark/refactory/data/question_4/code/correct/correct_4_249.py#3:,,,,,,,,,,,,,,,,,,,<class 'timeout_decorator.timeout_decorator.TimeoutError'>(),run sliced,,,,,0,0,refactory,Timeout during sliced code execution
24251,benchmark/refactory/data/question_4/code/correct/correct_4_249.py#4:,,,,,,,,,,,,,,,,,,,<class 'timeout_decorator.timeout_decorator.TimeoutError'>(),run sliced,,,,,0,0,refactory,Timeout during sliced code execution
24252,benchmark/refactory/data/question_4/code/correct/correct_4_249.py#5:,,,,,,,,,,,,,,,,,,,<class 'timeout_decorator.timeout_decorator.TimeoutError'>(),run sliced,,,,,0,0,refactory,Timeout during sliced code execution
24259,benchmark/refactory/data/question_4/code/correct/correct_4_289.py#0:,,,,,,,,,,,,,,,,,,,<class 'timeout_decorator.timeout_decorator.TimeoutError'>(),run sliced,,,,,0,0,refactory,Timeout during sliced code execution
24260,benchmark/refactory/data/question_4/code/correct/correct_4_289.py#1:,,,,,,,,,,,,,,,,,,,<class 'timeout_decorator.timeout_decorator.TimeoutError'>(),run sliced,,,,,0,0,refactory,Timeout during sliced code execution
24261,benchmark/refactory/data/question_4/code/correct/correct_4_289.py#2:,,,,,,,,,,,,,,,,,,,<class 'timeout_decorator.timeout_decorator.TimeoutError'>(),run sliced,,,,,0,0,refactory,Timeout during sliced code execution
24262,benchmark/refactory/data/question_4/code/correct/correct_4_289.py#3:,,,,,,,,,,,,,,,,,,,<class 'timeout_decorator.timeout_decorator.TimeoutError'>(),run sliced,,,,,0,0,refactory,Timeout during sliced code execution
24263,benchmark/refactory/data/question_4/code/correct/correct_4_289.py#4:,,,,,,,,,,,,,,,,,,,<class 'timeout_decorator.timeout_decorator.TimeoutError'>(),run sliced,,,,,0,0,refactory,Timeout during sliced code execution
24264,benchmark/refactory/data/question_4/code/correct/correct_4_289.py#5:,,,,,,,,,,,,,,,,,,,<class 'timeout_decorator.timeout_decorator.TimeoutError'>(),run sliced,,,,,0,0,refactory,Timeout during sliced code execution
24265,benchmark/refactory/data/question_4/code/correct/correct_4_242.py#0:,,,,,,,,,,,,,,,,,,,<class 'timeout_decorator.timeout_decorator.TimeoutError'>(),run sliced,,,,,0,0,refactory,Timeout during sliced code execution
24266,benchmark/refactory/data/question_4/code/correct/correct_4_242.py#1:,,,,,,,,,,,,,,,,,,,<class 'timeout_decorator.timeout_decorator.TimeoutError'>(),run sliced,,,,,0,0,refactory,Timeout during sliced code execution
24267,benchmark/refactory/data/question_4/code/correct/correct_4_242.py#2:,,,,,,,,,,,,,,,,,,,<class 'timeout_decorator.timeout_decorator.TimeoutError'>(),run sliced,,,,,0,0,refactory,Timeout during sliced code execution
24268,benchmark/refactory/data/question_4/code/correct/correct_4_242.py#3:,,,,,,,,,,,,,,,,,,,<class 'timeout_decorator.timeout_decorator.TimeoutError'>(),run sliced,,,,,0,0,refactory,Timeout during sliced code execution
24269,benchmark/refactory/data/question_4/code/correct/correct_4_242.py#4:,,,,,,,,,,,,,,,,,,,<class 'timeout_decorator.timeout_decorator.TimeoutError'>(),run sliced,,,,,0,0,refactory,Timeout during sliced code execution
24270,benchmark/refactory/data/question_4/code/correct/correct_4_242.py#5:,,,,,,,,,,,,,,,,,,,<class 'timeout_decorator.timeout_decorator.TimeoutError'>(),run sliced,,,,,0,0,refactory,Timeout during sliced code execution
24277,benchmark/refactory/data/question_4/code/correct/correct_4_241.py#0:,,,,,,,,,,,,,,,,,,,"<class 'slicing.slicing_exceptions.SlicingException'>('Lambda not supported',)",trace,,,,,0,0,refactory,Not supported
24278,benchmark/refactory/data/question_4/code/correct/correct_4_241.py#1:,,,,,,,,,,,,,,,,,,,"<class 'slicing.slicing_exceptions.SlicingException'>('Lambda not supported',)",trace,,,,,0,0,refactory,Not supported
24279,benchmark/refactory/data/question_4/code/correct/correct_4_241.py#2:,,,,,,,,,,,,,,,,,,,"<class 'slicing.slicing_exceptions.SlicingException'>('Lambda not supported',)",trace,,,,,0,0,refactory,Not supported
